"day","month","year","time","speed_limit","maximum_speed","vehicles_count","hourly_count","LAT","LNG"
1,5,2016,8,0,0,0,82,-37.814252,144.942659
1,5,2016,8,0,0,0,315,-37.819261,144.968357
1,5,2016,8,0,0,0,378,-37.80758,144.956785
1,5,2016,8,0,0,0,99,-37.80758,144.956785
1,5,2016,8,0,0,0,89,-37.812646,144.959686
1,5,2016,8,0,0,0,173,-37.820034,144.963055
1,5,2016,8,0,0,0,35,-37.798933,144.963945
1,5,2016,8,0,0,0,53,-37.818285,144.952776
1,5,2016,8,0,0,0,149,-37.809809,144.96519
1,5,2016,8,0,0,0,408,-37.821222,144.968534
1,5,2016,8,0,0,0,33,-37.806426,144.960759
1,5,2016,8,0,0,0,45,-37.815423,144.939177
1,5,2016,8,0,0,0,73,-37.823926,144.94719
1,5,2016,9,0,0,0,149,-37.808527,144.971467
1,5,2016,9,0,0,0,1387,-37.817321,144.967349
1,5,2016,9,0,0,0,652,-37.815058,144.966617
1,5,2016,9,0,0,0,349,-37.821407,144.968775
1,5,2016,9,0,0,0,83,-37.800473,144.964411
1,5,2016,9,0,0,0,225,-37.813076,144.968004
1,5,2016,9,0,0,0,107,-37.815372,144.974894
1,5,2016,9,0,0,0,799,-37.817768,144.967191
1,5,2016,9,0,0,0,166,-37.812618,144.965491
1,5,2016,9,0,0,0,617,-37.81296,144.963769
1,5,2016,9,0,0,0,123,-37.815329,144.973305
1,5,2016,9,0,0,0,97,-37.814334,144.972395
1,5,2016,9,0,0,0,197,-37.814457,144.973654
1,5,2016,9,0,0,0,226,-37.819493,144.954064
1,5,2016,9,0,0,0,54,-37.796674,144.964864
1,5,2016,9,0,0,0,146,-37.813911,144.969905
1,5,2016,9,0,0,0,366,-37.818121,144.95728
1,5,2016,9,0,0,0,503,-37.813887,144.964405
1,5,2016,9,0,0,0,94,-37.789285,144.968952
1,5,2016,9,0,0,0,150,-37.78881,144.965314
1,5,2016,9,0,0,0,111,-37.810551,144.970219
1,5,2016,9,0,0,0,539,-37.815961,144.966504
1,5,2016,9,0,0,0,186,-37.812161,144.956369
1,5,2016,9,0,0,0,807,-37.818271,144.967062
1,5,2016,9,0,0,0,675,-37.819031,144.954035
1,5,2016,9,0,0,0,241,-37.812227,144.962225
1,5,2016,9,0,0,0,481,-37.81083,144.963134
1,5,2016,9,0,0,0,552,-37.825394,144.953111
1,5,2016,9,0,0,0,168,-37.814252,144.942659
1,5,2016,9,0,0,0,638,-37.819261,144.968357
1,5,2016,9,0,0,0,733,-37.80758,144.956785
1,5,2016,9,0,0,0,159,-37.80758,144.956785
1,5,2016,9,0,0,0,103,-37.812646,144.959686
1,5,2016,9,0,0,0,254,-37.820034,144.963055
1,5,2016,9,0,0,0,76,-37.798933,144.963945
1,5,2016,9,0,0,0,87,-37.818285,144.952776
1,5,2016,9,0,0,0,263,-37.809809,144.96519
1,5,2016,9,0,0,0,681,-37.821222,144.968534
1,5,2016,9,0,0,0,42,-37.806426,144.960759
1,5,2016,9,0,0,0,64,-37.815423,144.939177
1,5,2016,9,0,0,0,110,-37.823926,144.94719
1,5,2016,10,0,0,0,217,-37.808527,144.971467
1,5,2016,10,0,0,0,1984,-37.817321,144.967349
1,5,2016,10,0,0,0,1251,-37.815058,144.966617
1,5,2016,10,0,0,0,574,-37.821407,144.968775
1,5,2016,10,0,0,0,148,-37.800473,144.964411
1,5,2016,10,0,0,0,363,-37.813076,144.968004
1,5,2016,10,0,0,0,77,-37.815372,144.974894
1,5,2016,10,0,0,0,1158,-37.817768,144.967191
1,5,2016,10,0,0,0,367,-37.812618,144.965491
1,5,2016,10,0,0,0,1153,-37.81296,144.963769
1,5,2016,10,0,0,0,103,-37.815329,144.973305
1,5,2016,10,0,0,0,113,-37.814334,144.972395
1,5,2016,10,0,0,0,203,-37.814457,144.973654
1,5,2016,10,0,0,0,220,-37.819493,144.954064
1,5,2016,10,0,0,0,100,-37.796674,144.964864
1,5,2016,10,0,0,0,110,-37.813911,144.969905
1,5,2016,10,0,0,0,617,-37.818121,144.95728
1,5,2016,10,0,0,0,994,-37.813887,144.964405
